CustomerID,Gender,SeniorCitizen,Partner,Dependents,ChurnLabel,ChurnValue,ChurnScore,CLTV,ChurnReason,Country,State,City,ZipCode,Latitude,Longitude,TenureMonths,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
4598-XLKNJ,Female,1,Yes,Yes,Yes,1,88,5337,Limited range of services,United States,California,Inglewood,90303,33.936291,-118.332639,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5
3192-NQECA,Male,0,Yes,No,Yes,1,86,5034,Lack of affordable download/upload speed,United States,California,Santa Monica,90403,34.031529,-118.491156,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85
0486-HECZI,Male,0,Yes,Yes,Yes,1,75,5154,Long distance charges,United States,California,Torrance,90504,33.867257,-118.330794,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9
4846-WHAFZ,Female,1,Yes,Yes,Yes,1,67,2793,Extra data charges,United States,California,Whittier,90602,33.972119,-118.020188,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15
5299-RULOA,Female,0,Yes,Yes,Yes,1,87,5998,Price too high,United States,California,Whittier,90606,33.976678,-118.065875,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65
0404-SWRVG,Male,0,No,Yes,Yes,1,76,4415,Product dissatisfaction,United States,California,La Habra,90631,33.940619,-117.9513,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55
4412-YLTKF,Female,1,No,Yes,Yes,1,95,4638,Service dissatisfaction,United States,California,Pico Rivera,90660,33.989524,-118.089299,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5
6207-WIOLX,Female,0,Yes,No,Yes,1,99,4190,Lack of self-service on Website,United States,California,Avalon,90704,33.391181,-118.421305,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65
3091-FYHKI,Male,0,No,No,Yes,1,80,2301,Network reliability,United States,California,Harbor City,90710,33.798266,-118.300237,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45
2372-HWUHI,Male,0,No,No,Yes,1,76,2570,Don't know,United States,California,Lakewood,90712,33.840524,-118.148403,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25
0390-DCFDQ,Female,1,Yes,Yes,Yes,1,76,3964,Don't know,United States,California,Los Alamitos,90720,33.79499,-118.065591,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45
4080-OGPJL,Female,0,No,No,Yes,1,66,2662,Don't know,United States,California,San Pedro,90731,33.736387,-118.284363,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65
2135-RXIHG,Male,0,No,No,Yes,1,73,2600,Poor expertise of online support,United States,California,Carson,90745,33.822295,-118.26411,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65
3874-EQOEP,Male,0,No,Yes,Yes,1,94,2786,Poor expertise of phone support,United States,California,Long Beach,90804,33.783047,-118.1486,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5
0867-MKZVY,Female,0,Yes,Yes,Yes,1,86,5719,Price too high,United States,California,Altadena,91001,34.196837,-118.142236,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35
3376-BMGFE,Female,0,No,Yes,Yes,1,75,4287,Product dissatisfaction,United States,California,Monrovia,91016,34.1528,-118.000482,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0
3445-HXXGF,Male,1,Yes,No,Yes,1,100,5444,Service dissatisfaction,United States,California,Sierra Madre,91024,34.168686,-118.057505,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2
1875-QIVME,Female,0,Yes,Yes,Yes,1,83,4690,Lack of self-service on Website,United States,California,Tujunga,91042,34.296574,-118.244839,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8
0691-JVSYA,Female,0,Yes,No,Yes,1,80,4328,Network reliability,United States,California,Pasadena,91103,34.167465,-118.165327,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2
2656-FMOKZ,Female,1,No,Yes,Yes,1,99,5717,Limited range of services,United States,California,Pasadena,91106,34.139402,-118.128658,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7
2070-FNEXE,Female,1,No,Yes,Yes,1,81,4419,Lack of affordable download/upload speed,United States,California,Pasadena,91107,34.159007,-118.087353,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6
6317-YPKDH,Female,0,No,No,Yes,1,95,4534,Long distance charges,United States,California,Glendale,91202,34.167926,-118.267539,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95
9367-WXLCH,Male,0,No,Yes,Yes,1,86,2152,Extra data charges,United States,California,Glendale,91204,34.136306,-118.26036,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65
1918-ZBFQJ,Female,0,No,Yes,Yes,1,73,5142,Price too high,United States,California,Glendale,91206,34.162515,-118.203869,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65
1024-GUALD,Female,0,Yes,No,Yes,1,94,4851,Product dissatisfaction,United States,California,Glendale,91207,34.182378,-118.262922,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8
2472-OVKUP,Male,0,Yes,Yes,Yes,1,94,2283,Service dissatisfaction,United States,California,Canoga Park,91304,34.224377,-118.632656,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0
1285-OKIPP,Male,0,No,Yes,Yes,1,98,3394,Lack of self-service on Website,United States,California,Mission Hills,91345,34.266389,-118.459744,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9
7825-ECJRF,Female,0,No,Yes,Yes,1,71,3764,Network reliability,United States,California,Santa Clarita,91350,34.502432,-118.41459,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45
7841-TZDMQ,Male,0,No,No,Yes,1,76,2667,Don't know,United States,California,Sun Valley,91352,34.231053,-118.338307,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5
9408-SSNVZ,Female,0,No,Yes,Yes,1,67,2227,Don't know,United States,California,Stevenson Ranch,91381,34.364153,-118.615583,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35
0742-MOABM,Male,0,Yes,No,Yes,1,82,3394,Don't know,United States,California,Panorama City,91402,34.223768,-118.445461,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35
2232-DMLXU,Female,0,Yes,No,Yes,1,81,3638,Poor expertise of online support,United States,California,Van Nuys,91411,34.17847,-118.459472,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2
8937-RDTHP,Male,0,No,Yes,Yes,1,66,2484,Poor expertise of phone support,United States,California,Burbank,91504,34.213049,-118.317651,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6
1251-KRREG,Male,0,No,No,Yes,1,81,2556,Price too high,United States,California,North Hollywood,91601,34.1692,-118.372498,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1
0094-OIFMO,Female,1,No,Yes,Yes,1,85,5980,Product dissatisfaction,United States,California,North Hollywood,91605,34.207295,-118.400022,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3
9947-OTFQU,Male,1,No,No,Yes,1,86,4616,Service dissatisfaction,United States,California,Covina,91722,34.097345,-117.906736,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3
0322-YINQP,Male,0,No,No,Yes,1,77,5687,Lack of self-service on Website,United States,California,Covina,91723,34.084747,-117.886844,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55
4629-NRXKX,Female,0,Yes,No,Yes,1,75,5687,Network reliability,United States,California,El Monte,91731,34.079934,-118.046695,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15
9514-JDSKI,Male,1,Yes,No,Yes,1,65,5828,Limited range of services,United States,California,El Monte,91732,34.074492,-118.01462,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2
4959-JOSRX,Female,0,Yes,No,Yes,1,99,4884,Lack of affordable download/upload speed,United States,California,La Puente,91744,34.031441,-117.936436,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55
7273-TEFQD,Male,1,No,No,Yes,1,96,2314,Long distance charges,United States,California,La Puente,91746,34.038983,-117.991372,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2
3606-TWKGI,Male,1,No,No,Yes,1,84,2494,Extra data charges,United States,California,Rowland Heights,91748,33.976753,-117.897367,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3
6323-AYBRX,Male,0,No,No,Yes,1,83,5084,Price too high,United States,California,Ontario,91762,34.057256,-117.667677,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6
4385-GZQXV,Female,1,No,No,Yes,1,81,3810,Product dissatisfaction,United States,California,Ontario,91764,34.074087,-117.605618,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2
6366-ZGQGL,Male,0,No,No,Yes,1,73,5087,Service dissatisfaction,United States,California,Pomona,91766,34.042286,-117.756106,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8
5940-AHUHD,Male,0,No,No,Yes,1,69,3338,Lack of self-service on Website,United States,California,Pomona,91768,34.067932,-117.785168,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6
6432-TWQLB,Male,0,Yes,No,Yes,1,80,3676,Network reliability,United States,California,Rosemead,91770,34.065108,-118.082791,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1
4484-GLZOU,Female,0,Yes,No,Yes,1,65,4839,Don't know,United States,California,San Dimas,91773,34.102119,-117.815532,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85
9512-UIBFX,Male,0,Yes,No,Yes,1,68,4643,Don't know,United States,California,West Covina,91791,34.061634,-117.893169,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95
5583-SXDAG,Male,0,Yes,No,Yes,1,97,4094,Don't know,United States,California,Alhambra,91803,34.074736,-118.145959,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0
3488-PGMQJ,Male,1,No,No,Yes,1,80,4345,Poor expertise of online support,United States,California,Alpine,91901,32.827184,-116.703729,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55
3580-REOAC,Male,0,No,No,Yes,1,83,4061,Poor expertise of phone support,United States,California,Bonita,91902,32.67117,-117.00232,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4
7534-BFESC,Male,1,No,No,Yes,1,98,2018,Price too high,United States,California,Boulevard,91905,32.677097,-116.304991,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7
6390-DSAZX,Female,0,No,No,Yes,1,80,2565,Product dissatisfaction,United States,California,Guatay,91931,32.857946,-116.561917,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6
8098-LLAZX,Female,1,No,No,Yes,1,85,3677,Service dissatisfaction,United States,California,Jacumba,91934,32.649787,-116.2237,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1
0265-EDXBD,Male,1,Yes,No,Yes,1,69,4105,Lack of self-service on Website,United States,California,Mount Laguna,91948,32.830852,-116.444601,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35
7563-BIUPC,Male,0,No,No,Yes,1,69,5715,Network reliability,United States,California,Borrego Springs,92004,33.200369,-116.192313,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55
2321-OMBXY,Female,0,Yes,No,Yes,1,81,2071,Limited range of services,United States,California,Carlsbad,92009,33.098018,-117.258203,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65
2840-XANRC,Male,1,Yes,No,Yes,1,73,2212,Lack of affordable download/upload speed,United States,California,Del Mar,92014,32.948262,-117.256086,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05
5020-ZSTTY,Female,1,No,No,Yes,1,83,4149,Long distance charges,United States,California,El Cajon,92020,32.79697,-116.969082,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1
5804-LEPIM,Female,1,No,No,Yes,1,73,2671,Extra data charges,United States,California,Escondido,92029,33.079834,-117.134275,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05
0122-OAHPZ,Female,0,No,No,Yes,1,67,2473,Price too high,United States,California,Oceanside,92057,33.254497,-117.285879,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25
2868-SNELZ,Female,0,No,No,Yes,1,92,2683,Product dissatisfaction,United States,California,Pala,92059,33.384345,-117.072619,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8
4322-RCYMT,Male,0,Yes,No,Yes,1,81,4903,Service dissatisfaction,United States,California,Palomar Mountain,92060,33.309852,-116.823091,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95
6680-NENYN,Female,0,No,No,Yes,1,91,5250,Lack of self-service on Website,United States,California,Pauma Valley,92061,33.313828,-116.940501,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85
1343-EHPYB,Male,0,Yes,No,Yes,1,98,4352,Network reliability,United States,California,Ranchita,92066,33.215251,-116.53633,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603.0
2034-GDRCN,Female,0,No,No,Yes,1,76,4157,Don't know,United States,California,Valley Center,92082,33.25283,-116.986079,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2
0219-YTZUE,Male,0,Yes,No,Yes,1,73,4939,Don't know,United States,California,San Diego,92103,32.747484,-117.166877,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9
0623-IIHUG,Female,1,No,No,Yes,1,97,4778,Don't know,United States,California,San Diego,92104,32.741499,-117.127409,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,840.1
4572-DVCGN,Female,0,No,No,Yes,1,85,3598,Poor expertise of online support,United States,California,San Diego,92105,32.741859,-117.090353,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,846.0
9057-MSWCO,Male,1,Yes,No,Yes,1,91,2927,Poor expertise of phone support,United States,California,San Diego,92108,32.774046,-117.142454,27,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,805.1
1010-DIAUQ,Male,0,No,No,Yes,1,98,5383,Price too high,United States,California,San Diego,92116,32.765299,-117.122565,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55
0259-GBZSH,Male,0,No,No,Yes,1,73,3878,Product dissatisfaction,United States,California,San Diego,92122,32.85723,-117.209774,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,181.5
9601-BRXPO,Female,0,Yes,No,Yes,1,66,3642,Service dissatisfaction,United States,California,San Diego,92129,32.961064,-117.134917,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5
6905-NIQIN,Male,0,No,No,Yes,1,76,2431,Don't know,United States,California,San Diego,92154,32.578103,-117.012975,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.65,50.65
5167-ZFFMM,Male,0,No,No,Yes,1,81,3424,Network reliability,United States,California,Indio,92201,33.713891,-116.237257,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85
4895-TMWIR,Male,1,Yes,No,Yes,1,80,5888,Limited range of services,United States,California,Indian Wells,92210,33.537646,-116.291089,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,214.75
0533-BNWKF,Female,1,Yes,No,Yes,1,100,5502,Lack of affordable download/upload speed,United States,California,Palm Desert,92211,33.762759,-116.324817,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,4874.7
6599-CEBNN,Female,0,No,No,Yes,1,94,5795,Long distance charges,United States,California,Desert Hot Springs,92240,33.948558,-116.516976,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,2524.45
0979-PHULV,Male,0,Yes,No,Yes,1,80,4020,Extra data charges,United States,California,Holtville,92250,32.811001,-115.152865,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,7007.6
4800-VHZKI,Female,0,No,No,Yes,1,92,3351,Price too high,United States,California,Niland,92257,33.345825,-115.596574,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.9,19.9
7989-CHGTL,Male,0,No,No,Yes,1,95,3448,Product dissatisfaction,United States,California,North Palm Springs,92258,33.906496,-116.569499,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,19.6
0334-GDDSO,Male,1,No,No,Yes,1,73,2818,Service dissatisfaction,United States,California,Ocotillo,92259,32.698964,-115.886656,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.35,233.7
0578-SKVMF,Female,0,Yes,No,Yes,1,88,3804,Lack of self-service on Website,United States,California,Seeley,92273,32.790282,-115.689559,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,83.3,1845.9
5564-NEMQO,Female,1,No,No,Yes,1,67,4902,Network reliability,United States,California,Thermal,92274,33.53604,-116.119222,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.3,75.3
9063-ZGTUY,Female,0,Yes,No,Yes,1,82,4221,Don't know,United States,California,Adelanto,92301,34.667815,-117.536183,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.4,1182.55
2957-LOLHO,Male,0,No,No,Yes,1,68,2887,Don't know,United States,California,Apple Valley,92307,34.55082,-117.122396,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.4,518.9
7752-XUSCI,Female,0,No,No,Yes,1,84,4105,Don't know,United States,California,Crestline,92325,34.248061,-117.29028,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,6396.45
4110-PFEUZ,Female,0,No,No,Yes,1,73,2792,Competitor had better devices,United States,California,Daggett,92327,34.875144,-116.821698,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.55,69.55
